City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
okhotsk,59.3833,143.3,-14.47,65,97,5.0,RU,1731638151
conception bay south,47.4999,-52.9981,11.91,98,100,13.29,CA,1731637988
kapuskasing,49.4169,-82.4331,0.05,93,100,2.57,CA,1731638084
shingu,33.7333,135.9833,21.24,73,100,0.64,JP,1731638155
am timan,11.0297,20.2827,21.71,24,3,2.53,TD,1731638156
minas de matahambre,22.5887,-83.9447,23.12,85,62,1.73,CU,1731638157
hiratacho,35.4333,132.8167,16.98,82,75,1.54,JP,1731638158
safotu,-13.4513,-172.4018,27.53,85,58,11.51,WS,1731638159
la sarre,48.8002,-79.1996,-1.06,66,100,2.73,CA,1731638160
bardai,11.65,7.2333,19.43,23,0,4.51,NG,1731638161
kolonia,50.9333,6.95,8.86,89,100,1.54,DE,1731638163
katsina,12.9894,7.6006,21.84,20,0,4.2,NG,1731638164
butembo,0.15,29.2833,14.32,92,100,1.07,CD,1731638165
yatou,37.15,122.3833,16.34,91,100,4.09,CN,1731638166
durach,47.7,10.35,1.23,89,18,1.54,DE,1731638167
fort bragg,35.139,-79.006,12.12,95,100,3.6,US,1731638168
puerto armuelles,8.2833,-82.8667,23.94,92,100,1.79,PA,1731638169
lihue,21.9789,-159.3672,25.77,74,100,9.26,US,1731638170
khanbari,27.3747,87.2039,21.43,67,19,0.37,NP,1731638172
crane,31.3974,-102.3501,15.41,38,0,5.79,US,1731638173
zaragoza,41.6561,-0.8773,11.25,83,75,0.51,ES,1731638174
dong ha,16.8163,107.1003,28.29,75,17,1.57,VN,1731638175
murovani kurylivtsi,48.7235,27.5189,0.27,91,100,4.3,UA,1731638176
modasa,23.4667,73.3,23.35,42,2,2.92,IN,1731638177
brookings,44.3114,-96.7984,3.4,96,20,3.09,US,1731638178
kapa'a,22.0752,-159.319,26.18,78,100,9.26,US,1731637891
jianshui,23.6363,102.8264,21.09,53,0,1.8,CN,1731638181
buka,40.8108,69.1986,2.71,70,1,1.05,UZ,1731638182
talakan,50.3167,130.3667,-4.68,48,5,2.52,RU,1731638183
holualoa,19.6228,-155.9522,26.02,87,40,2.57,US,1731638184
kimbe,-5.5502,150.1429,31.67,57,19,3.07,PG,1731638185
kosh-agach,50.0,88.6667,-16.11,90,100,0.61,RU,1731638186
yeppoon,-23.1333,150.7333,27.3,68,66,6.0,AU,1731638187
vargashi,55.3556,65.8467,-5.85,90,100,5.67,RU,1731638188
wiesenburg,52.1167,12.45,4.41,97,67,2.62,DE,1731638190
robertsport,6.7533,-11.3686,26.69,79,36,2.9,LR,1731638191
nampula,-15.1165,39.2666,22.97,83,75,3.6,MZ,1731638192
sidi ifni,29.3797,-10.173,18.97,56,5,1.41,MA,1731638193
sao vicente,-23.9631,-46.3919,20.55,26,100,2.69,BR,1731637925
meadow lake,34.8014,-106.5436,10.38,28,0,1.77,US,1731638195
skipton,53.9614,-2.0168,7.27,97,75,2.24,GB,1731638196
fort stockton,30.894,-102.8793,18.03,27,0,6.69,US,1731638197
nadym,65.5333,72.5167,-12.87,94,100,8.3,RU,1731638199
dudinka,69.4058,86.1778,-32.83,98,80,3.55,RU,1731638200
az zuwaytinah,30.9522,20.1202,19.57,48,3,4.76,LY,1731638201
ta`u,-14.2336,-169.5144,26.63,75,100,9.49,AS,1731637970
pasuquin,18.3328,120.6177,27.97,89,75,6.69,PH,1731638203
mizan teferi,6.9833,35.5833,16.31,86,22,1.52,ET,1731638204
saudarkrokur,65.7461,-19.6394,-0.28,82,89,12.59,IS,1731638205
las palmas,28.4204,-14.0131,16.44,82,0,2.57,ES,1731638207
bocas del toro,9.3333,-82.25,26.44,82,100,2.02,PA,1731638208
lospalos,-8.5186,127.0025,30.96,52,71,5.09,TL,1731638209
ceerigaabo,10.6162,47.368,12.64,37,100,2.64,SO,1731638210
decatur,39.8403,-88.9548,9.03,81,100,4.63,US,1731638214
ivdel',60.6911,60.4206,-1.38,87,100,2.4,RU,1731637939
taitung city,22.7583,121.1444,25.15,94,75,2.06,TW,1731638216
arawa,-6.2132,155.5367,31.1,62,4,2.11,PG,1731638217
muynoq,43.7683,59.0214,0.59,56,100,3.47,UZ,1731638218
ivankiv,50.9386,29.8943,0.05,97,100,3.96,UA,1731638219
sena madureira,-9.0656,-68.6569,25.18,71,33,0.59,BR,1731638220
igarka,67.4667,86.5833,-28.42,97,100,5.2,RU,1731638221
ha'il,27.5219,41.6907,14.01,77,0,1.03,SA,1731638211
mongu,-15.2484,23.1274,20.0,87,100,3.6,ZM,1731638224
tonghae,37.5439,129.1069,15.35,74,100,1.71,KR,1731638225
narvik,68.4384,17.4272,2.67,97,100,2.23,NO,1731638226
angra do heroismo,38.65,-27.2167,17.34,77,75,6.23,PT,1731638227
ongjin,37.9347,125.3619,16.77,71,91,4.71,KP,1731638228
tazovsky,67.4667,78.7,-22.88,96,100,6.26,RU,1731638229
canitas de felipe pescador,23.6,-102.7167,16.71,54,35,4.54,MX,1731638230
mangai,-4.05,19.5333,20.67,99,100,1.33,CD,1731638231
yibin,28.7667,104.6238,20.41,76,98,0.78,CN,1731638233
dryden,49.7833,-92.7503,3.16,100,100,2.06,CA,1731638234
flin flon,54.7682,-101.865,1.2,97,100,5.04,CA,1731638235
nongpoh,25.9,91.8833,22.0,68,0,1.24,IN,1731638236
christchurch,-43.5333,172.6333,15.74,82,100,9.26,NZ,1731637655
santa ana,33.7456,-117.8678,16.58,82,0,2.06,US,1731638238
bitkine,11.9801,18.2138,21.63,15,0,3.18,TD,1731638239
sungailiat,-1.85,106.1333,29.68,67,98,1.73,ID,1731638240
bodaybo,57.8506,114.1933,-16.51,82,83,0.46,RU,1731638242
harrisonville,38.6533,-94.3488,4.88,81,0,0.0,US,1731638243
smithers,54.7804,-127.1743,2.18,87,40,0.0,CA,1731638244
olyokminsk,60.3736,120.4264,-17.23,89,88,1.25,RU,1731638245
bubaque,11.2833,-15.8333,28.48,63,15,3.21,GW,1731638246
tazacorte,28.629,-17.9293,18.54,83,75,2.57,ES,1731638247
argo,37.6333,22.7333,13.74,81,0,1.92,GR,1731638248
tamandare,-8.7597,-35.1047,24.54,74,1,4.01,BR,1731638249
quepos,9.4236,-84.1652,24.04,88,100,1.32,CR,1731638251
marshall,34.3834,-86.3333,14.86,77,100,4.12,US,1731638252
alpena,45.0617,-83.4327,7.28,96,100,3.09,US,1731638253
sierra grande,-41.606,-65.3557,24.21,28,93,6.1,AR,1731638254
waliso,8.5333,37.9833,11.32,60,81,4.58,ET,1731638256
unhel,23.3333,75.5667,22.05,40,2,2.0,IN,1731638257
nema,57.5067,50.5011,-1.29,89,100,4.49,RU,1731638258
mili,6.0815,171.735,27.84,74,92,3.05,MH,1731638260
laojunmiao,39.8333,97.7333,-2.08,74,84,1.2,CN,1731638261
luderitz,-26.6481,15.1594,19.25,52,0,5.98,NA,1731638262
al bayda,32.7627,21.7551,14.26,52,3,4.47,LY,1731638263
kyzyl-mazhalyk,51.1333,90.6,-12.93,55,100,0.83,RU,1731638264
boali,4.8005,18.1275,22.31,68,10,1.6,CF,1731638265
mirny,62.5353,113.9611,-20.31,96,100,1.96,RU,1731638266
kyongsong,41.5878,129.6061,13.79,54,6,2.46,KP,1731638267
sumbawa besar,-8.5,117.4333,35.99,39,77,3.97,ID,1731638268
walvis bay,-22.9575,14.5053,16.53,88,0,3.09,NA,1731638270
alice springs,-23.7,133.8833,30.75,13,33,3.6,AU,1731638271
lisakovsk,52.5369,62.4936,-2.38,84,59,5.92,KZ,1731638272
serafimovskiy,54.4241,53.7964,-2.92,91,100,4.73,RU,1731638107
suntar,62.1444,117.6319,-19.25,94,100,1.48,RU,1731638274
hampshire,42.3334,-72.5829,2.99,56,75,0.0,US,1731638031
floro,61.5996,5.0328,7.98,93,100,5.66,NO,1731638276
qarawul,37.2202,68.7804,8.52,75,83,0.28,AF,1731638277
northam,51.0333,-4.2167,9.23,88,1,3.07,GB,1731638279
erenhot,43.6475,111.9767,6.6,56,100,8.28,CN,1731638280
lahore,31.5497,74.3436,15.99,94,100,0.0,PK,1731638184
luanda,-8.8368,13.2343,24.0,94,75,1.03,AO,1731637783
jiagedaqi,50.4167,124.1167,-6.26,69,100,2.27,CN,1731638283
kasane,-17.8167,25.15,18.99,78,100,3.95,BW,1731638268
vershino-darasunskiy,52.35,115.5167,-12.6,92,100,4.15,RU,1731638285
ciudad lazaro cardenas,17.9583,-102.2,25.73,81,45,1.55,MX,1731638286
dalnegorsk,44.5604,135.5701,7.22,68,54,4.05,RU,1731638287
qamdo,31.1667,97.2333,4.16,31,2,2.65,CN,1731638289
niafunke,15.9322,-3.9906,26.26,22,45,4.25,ML,1731638290
tambura,5.6,27.4667,22.63,66,75,1.62,SS,1731638291
caburan,5.9181,125.6411,27.49,74,75,1.62,PH,1731638292
kamaishi,39.2667,141.8833,15.93,58,74,1.0,JP,1731638293
camabatela,-8.1881,15.375,16.62,96,100,0.95,AO,1731638294
yongchuan,29.3514,105.8947,19.96,76,100,1.46,CN,1731638295
rodolfo sanchez taboada,31.7167,-116.5667,15.61,85,4,2.51,MX,1731638296
samarinda,-0.5,117.15,33.21,51,84,1.21,ID,1731638298
inarajan village,13.2736,144.7484,30.78,85,79,5.21,GU,1731638299
potsdam,52.3989,13.0657,6.72,96,83,1.34,DE,1731638030
mitsamiouli,-11.3847,43.2844,26.55,76,45,0.83,KM,1731638301
balkh,36.75,67.0,6.54,68,75,1.51,AF,1731638302
corner brook,48.9667,-57.9484,3.97,96,100,5.85,CA,1731638303
kyren,51.6828,102.1408,-8.29,45,85,1.71,RU,1731638304
chachapoyas,-6.2317,-77.869,11.33,80,99,0.81,PE,1731638138
marsabit,2.3284,37.9899,18.88,79,84,6.32,KE,1731638306
sultanpur,26.2667,82.0667,22.92,37,0,2.45,IN,1731638308
livezi-vale,46.4167,26.7333,-1.42,100,75,0.51,RO,1731638309
saint-philippe,-21.3585,55.7679,24.01,78,15,4.28,RE,1731638310
alibag,18.6411,72.8792,27.44,61,100,2.9,IN,1731638311
sittwe,20.15,92.9,26.27,67,39,2.18,MM,1731638312
santiago de cao,-7.9589,-79.2392,18.07,82,40,3.6,PE,1731638313
uacu cungo,-11.3634,15.1208,16.24,96,97,1.18,AO,1731638314
sao gabriel da cachoeira,-0.1303,-67.0892,22.91,88,100,0.35,BR,1731638315
lokomotivnyy,53.0118,60.5684,-2.89,87,95,6.03,RU,1731638316
port kembla,-34.4667,150.9,20.19,69,87,2.85,AU,1731638318
san ignacio,17.1561,-89.0714,23.08,100,100,5.14,BZ,1731638320
smirnykh,49.75,142.8333,1.83,56,100,1.0,RU,1731638321
san luis de la loma,17.2706,-100.8939,25.83,85,38,1.55,MX,1731638322
novodvinsk,64.4165,40.8122,0.86,82,62,4.06,RU,1731638323
broken hill,-31.95,141.4333,27.42,14,2,3.32,AU,1731638324
jinchang,38.4953,102.1739,3.81,53,71,4.2,CN,1731638230
nabire,-3.3667,135.4833,27.31,80,100,2.32,ID,1731638327
labrador city,52.9463,-66.9114,-5.46,68,0,0.0,CA,1731638328
taroa,8.7058,171.2275,27.92,72,98,2.01,MH,1731638329
grajau,-5.8194,-46.1386,24.31,83,99,1.03,BR,1731638330
plettenberg bay,-34.0527,23.3716,14.8,81,91,1.4,ZA,1731638331
santona,43.4439,-3.4576,11.71,79,9,3.21,ES,1731638332
bamboo flat,11.7,92.7167,29.05,79,40,1.03,IN,1731638333
arish,31.1316,33.7984,19.08,75,0,2.34,EG,1731638334
sisimiut,66.9395,-53.6735,-7.33,84,84,6.33,GL,1731638336
le puy-en-velay,45.0437,3.8852,2.3,93,88,0.47,FR,1731638337
nizhnesortymskiy,62.4397,71.7603,-9.06,95,100,5.72,RU,1731638338
jalai nur,49.45,117.7,-0.44,80,100,1.86,CN,1731638281
athagarh,20.5333,85.6167,24.55,60,6,2.22,IN,1731638340
nilsia,63.2,28.0833,0.92,88,100,3.57,FI,1731638341
boa vista,2.8197,-60.6733,24.99,83,40,2.06,BR,1731638191
withernsea,53.7311,0.0335,6.95,89,63,4.0,GB,1731638343
ataq,14.5377,46.8319,17.15,35,9,1.13,YE,1731638344
pechora,65.1472,57.2244,0.5,98,100,4.55,RU,1731638346
mangrol,21.1167,70.1167,25.94,43,9,3.49,IN,1731638347
carbonear,47.7332,-53.2148,12.3,99,100,11.2,CA,1731638348
bachhrawan,26.4833,81.1167,22.91,36,0,1.64,IN,1731638349
santiago,-33.4569,-70.6483,19.92,67,0,4.63,CL,1731638079
rongelap,11.1635,166.8941,28.52,70,52,5.03,MH,1731638351
punta del este,-34.9667,-54.95,19.06,72,0,3.6,UY,1731638352
wad medani,14.4012,33.5199,27.3,46,8,4.52,SD,1731638355
abu zabad,12.35,29.25,23.51,30,31,6.09,SD,1731638356
salamanca,40.8333,-6.0,10.27,88,100,2.43,ES,1731638357
puerto gaitan,4.3133,-72.0816,25.02,88,99,1.68,CO,1731638358
quatre cocos,-20.2078,57.7625,24.49,74,27,4.52,MU,1731638359
mavelikara,9.2667,76.55,26.5,85,77,1.54,IN,1731638360
misratah,32.3754,15.0925,19.64,61,0,3.5,LY,1731638361
manalurpettai,12.0167,79.1,25.19,83,100,1.68,IN,1731638362
alto barinas,8.5931,-70.2261,23.5,87,77,1.22,VE,1731638364
rossosh',51.1209,38.5116,0.09,84,98,5.44,RU,1731638366
taoyuan city,24.9937,121.297,29.4,83,75,2.06,TW,1731638367
la'ie,21.6477,-157.9253,26.66,78,12,4.92,US,1731638369
altai,46.3722,96.2583,-10.8,38,18,1.95,MN,1731638370
cambria,35.5641,-121.0808,12.25,88,35,3.13,US,1731638372
hitoyoshi,32.2167,130.75,21.65,88,100,0.76,JP,1731638374
rabaul,-4.1967,152.1721,29.08,66,3,2.51,PG,1731638375
antsiranana,-12.2787,49.2917,25.61,78,64,6.02,MG,1731638374
suicheng,33.8963,117.9331,20.49,68,21,3.24,CN,1731638377
richards bay,-28.783,32.0377,18.99,75,100,2.48,ZA,1731638378
scottburgh,-30.2867,30.7532,16.69,88,41,3.76,ZA,1731638379
ulsteinvik,62.3432,5.8487,11.5,84,80,7.2,NO,1731638232
kerikeri,-35.2268,173.9474,17.62,99,100,2.54,NZ,1731638382
arno,60.1167,18.6333,5.29,74,93,5.8,SE,1731638383
namie,37.4833,141.0,16.66,93,100,1.51,JP,1731638384
colonia,50.9333,6.95,8.86,89,100,1.54,DE,1731638385
xining,36.6167,101.7667,5.04,70,36,3.81,CN,1731638233
bahia de kino,28.8333,-111.9333,21.2,52,0,1.68,MX,1731638387
pedregal,8.3667,-82.4333,22.05,100,75,2.57,PA,1731638388
ar rudayyif,34.3827,8.1555,15.42,46,0,3.36,TN,1731638390
mejit,10.2753,170.8646,26.69,75,100,0.78,MH,1731638391
lubango,-14.9172,13.4925,16.92,94,100,1.03,AO,1731638392
uniao da vitoria,-26.23,-51.0864,15.19,94,88,1.84,BR,1731638296
